Id,BillingCity,BillingCountry,BillingPostalCode,BillingState,BillingStreet,Industry,Name,Phone,ShippingCity,ShippingCountry,ShippingPostalCode,ShippingState,ShippingStreet,Type,Website,Region__c
0011300001Z4hesAAB,,Italy,,,,,"ASE SPA",+390331402216,,,,,,"Product/Service Provider",http://www.ase-spa.com,
0011300001Z4iBEAAZ,,USA,,,,,"HIGH PLANES LLC",,,,,,,Owner/Operator,,
0011300001Z4kFkAAJ,,USA,,,,,"MEADOW LANE AIR PARTNERS LLC",,,,,,,Owner/Operator,,
0011300001Z4o7cAAB,,USA,,,,,"FALCON DOUBLE D 163 LLC",,,,,,,Owner/Operator,,
0011300001Z4szXAAR,,Germany,,,,,"FRANKE AEROTEC GMBH",+49418570000,,,,,,"Product/Service Provider",www.franke-aerotec.de,
0011300001Z4uhoAAB,,USA,,,,,"MBK AVIATION",,,,,,,Owner/Operator,,
0011300001Z4vQXAAZ,,USA,,,,,"HEALTHMARK SERVICES AIR LLC",,,,,,,"Product/Service Provider",,
0011300001Z4vUPAAZ,,USA,,,,,"CLOUDKISSER LLC",,,,,,,Owner/Operator,,
0011300001Z4vYWAAZ,,Bermuda,,,,,"BLUE SKY AVIATION LTD",,,,,,,Owner/Operator,,
0011300001Z50TZAAZ,,Germany,,,,,"DMT GMBH & CO KG",+4920117201,,,,,,"Product/Service Provider",http://www.dmt.de,
