pk,uid,name,locName_en,accountType,active,orderBlock,sfdcServiceLayer,addresses
8797391585285,0000000001,AIRCRAFT PARTS & SUPPLIE DO NOT USE,AIRCRAFT PARTS & SUPPLIE DO NOT USE,Distributor,true,true,Refer to Network,8797358653463
8798081482757,0000000002,DO NOT USE PEGASUS AVIATION INC.,DO NOT USE PEGASUS AVIATION INC.,Leasing Company,true,true,Refer to Network,8798048616471
8797739384837,0000000003,DO NOT USE WEST CARIBBEAN,DO NOT USE WEST CARIBBEAN,Product/Service Provider,true,true,Standard,8797706223639
8799852068869,0000000004,WEST CARIBBEAN AIRWAYS SA,WEST CARIBBEAN AIRWAYS SA,,true,true,,8799818645527
8796738650117,0000000005,TECHNO PACIFIC DO NOT USE,TECHNO PACIFIC DO NOT USE,Dealer,true,true,Refer to Network,8796705488919
8796336848901,0000000006,Q AIR PARTS DO NOT USE,Q AIR PARTS DO NOT USE,Owner/Operator,true,true,Refer to Network,8796303982615
8797722607621,0000000007,DO NOT USE,SEE ACCT 300126,01,true,false,Dealer,8797689643031
8797071900677,0000000008,NLX CORPORATION DO NOT USE,NLX CORPORATION DO NOT USE,OEM,true,true,Superior,8797038936087
8799111348229,0000000009,SAAB AB,SAAB AB,OEM,true,false,Superior,8799078645783
8799517016069,0000000010,SAAB AB,SAAB AB,,true,false,,8799483920407
8800860274693,0000000011,SAAB AB,SAAB AB,,true,true,,8800827277335
8801118355461,0000000012,AIR CHINA IMPORT & EXPOR DO NOT USE,AIR CHINA IMPORT & EXPOR DO NOT USE,Commercial Airline,true,true,Superior,8801085030423
8798845829125,0000000013,AIR CHINA IMPORT & EXPORT CO LTD,AIR CHINA IMPORT & EXPORT CO LTD,,true,true,,8798812733463
8800094420997,0000000014,DO NOT USE AIRCRAFT SUPPLY & REPAIR,DO NOT USE AIRCRAFT SUPPLY & REPAIR,Product/Service Provider,true,true,Refer to Network,8800061227031
8797391519749,0000000015,DO NOT USE REVILO AEROSPACE TRADING,DO NOT USE REVILO AEROSPACE TRADING,Product/Service Provider,true,true,Refer to Network,8797358489623
8800418562053,0000000016,DO NOT USE OCTAGON AEROSPACE INC.,DO NOT USE OCTAGON AEROSPACE INC.,Product/Service Provider,true,true,Refer to Network,8800385007639
8797295476741,0000000017,KOREAN AIRLINES,KOREAN AIRLINES,,true,true,,8797262512151
8800765870085,0000000018,EEE SYSTEMS/EEE AVISOURC DO NOT USE,EEE SYSTEMS/EEE AVISOURC DO NOT USE,Dealer,true,true,Refer to Network,8800732938263
8796431679493,0000000019,DO NOT USE,DO NOT USE,,true,true,,8796398911511
8801114947589,0000000020,DO NOT USE,SEE ACCT 317223,01,true,false,Repair Shop,8801081819159
